filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,0,3.0,Catharus ustulatus,Swainson's Thrush,0.5001,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,102.0,105.0,Empidonax difficilis,Pacific-slope Flycatcher,0.1403,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,105.0,108.0,Catharus ustulatus,Swainson's Thrush,0.6432,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,111.0,114.0,Catharus ustulatus,Swainson's Thrush,0.7280,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,117.0,120.0,Catharus ustulatus,Swainson's Thrush,0.3266,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,123.0,126.0,Catharus ustulatus,Swainson's Thrush,0.2332,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,126.0,129.0,Catharus ustulatus,Swainson's Thrush,0.9122,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,132.0,135.0,Catharus ustulatus,Swainson's Thrush,0.9760,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,138.0,141.0,Catharus ustulatus,Swainson's Thrush,0.7350,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,144.0,147.0,Catharus ustulatus,Swainson's Thrush,0.4948,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,147.0,150.0,Catharus ustulatus,Swainson's Thrush,0.8883,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,15.0,18.0,Catharus ustulatus,Swainson's Thrush,0.9360,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,153.0,156.0,Catharus ustulatus,Swainson's Thrush,0.5680,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
